date,PDRN,Ectoin,Exosome,PDRN_MA4,PDRN_WoW_pct,Ectoin_MA4,Ectoin_WoW_pct,Exosome_MA4,Exosome_WoW_pct
2021-09-12,0,0,5,0.0,,0.0,,5.0,
2021-09-19,0,0,5,0.0,,0.0,,5.0,0.0
2021-09-26,0,0,3,0.0,,0.0,,4.333333333333333,-40.0
2021-10-03,0,0,5,0.0,,0.0,,4.5,66.66666666666667
2021-10-10,0,0,3,0.0,,0.0,,4.0,-40.0
2021-10-17,0,0,3,0.0,,0.0,,3.5,0.0
2021-10-24,0,0,4,0.0,,0.0,,3.75,33.33333333333333
2021-10-31,0,0,4,0.0,,0.0,,3.5,0.0
2021-11-07,0,0,4,0.0,,0.0,,3.75,0.0
2021-11-14,0,0,4,0.0,,0.0,,4.0,0.0
2021-11-21,0,0,3,0.0,,0.0,,3.75,-25.0
2021-11-28,0,0,5,0.0,,0.0,,4.0,66.66666666666667
2021-12-05,0,0,5,0.0,,0.0,,4.25,0.0
2021-12-12,0,0,3,0.0,,0.0,,4.0,-40.0
2021-12-19,0,0,3,0.0,,0.0,,4.0,0.0
2021-12-26,0,0,2,0.0,,0.0,,3.25,-33.333333333333336
2022-01-02,0,0,3,0.0,,0.0,,2.75,50.0
2022-01-09,0,0,5,0.0,,0.0,,3.25,66.66666666666667
2022-01-16,0,0,4,0.0,,0.0,,3.5,-19.999999999999996
2022-01-23,0,0,6,0.0,,0.0,,4.5,50.0
2022-01-30,0,0,5,0.0,,0.0,,5.0,-16.666666666666664
2022-02-06,0,0,7,0.0,,0.0,,5.5,39.99999999999999
2022-02-13,0,4,6,0.0,,1.0,,6.0,-14.28571428571429
2022-02-20,0,0,6,0.0,,1.0,-100.0,6.0,0.0
2022-02-27,0,0,5,0.0,,1.0,,6.0,-16.666666666666664
2022-03-06,0,0,6,0.0,,1.0,,5.75,19.999999999999996
2022-03-13,0,0,4,0.0,,0.0,,5.25,-33.333333333333336
2022-03-20,0,0,6,0.0,,0.0,,5.25,50.0
2022-03-27,0,0,5,0.0,,0.0,,5.25,-16.666666666666664
2022-04-03,0,0,5,0.0,,0.0,,5.0,0.0
2022-04-10,0,0,6,0.0,,0.0,,5.5,19.999999999999996
2022-04-17,0,0,5,0.0,,0.0,,5.25,-16.666666666666664
2022-04-24,0,0,6,0.0,,0.0,,5.5,19.999999999999996
2022-05-01,0,0,6,0.0,,0.0,,5.75,0.0
2022-05-08,0,0,5,0.0,,0.0,,5.5,-16.666666666666664
2022-05-15,0,0,5,0.0,,0.0,,5.5,0.0
2022-05-22,0,0,6,0.0,,0.0,,5.5,19.999999999999996
2022-05-29,0,0,3,0.0,,0.0,,4.75,-50.0
2022-06-05,0,0,5,0.0,,0.0,,4.75,66.66666666666667
2022-06-12,0,0,5,0.0,,0.0,,4.75,0.0
2022-06-19,0,0,5,0.0,,0.0,,4.5,0.0
2022-06-26,0,0,5,0.0,,0.0,,5.0,0.0
2022-07-03,0,0,5,0.0,,0.0,,5.0,0.0
2022-07-10,0,0,7,0.0,,0.0,,5.5,39.99999999999999
2022-07-17,0,0,5,0.0,,0.0,,5.5,-28.57142857142857
2022-07-24,0,0,5,0.0,,0.0,,5.5,0.0
2022-07-31,0,0,5,0.0,,0.0,,5.5,0.0
2022-08-07,0,0,5,0.0,,0.0,,5.0,0.0
2022-08-14,0,0,5,0.0,,0.0,,5.0,0.0
2022-08-21,0,0,5,0.0,,0.0,,5.0,0.0
2022-08-28,0,0,5,0.0,,0.0,,5.0,0.0
2022-09-04,0,0,4,0.0,,0.0,,4.75,-19.999999999999996
2022-09-11,0,0,6,0.0,,0.0,,5.0,50.0
2022-09-18,0,0,5,0.0,,0.0,,5.0,-16.666666666666664
2022-09-25,0,0,6,0.0,,0.0,,5.25,19.999999999999996
2022-10-02,0,0,5,0.0,,0.0,,5.5,-16.666666666666664
2022-10-09,0,0,5,0.0,,0.0,,5.25,0.0
2022-10-16,0,0,5,0.0,,0.0,,5.25,0.0
